status,name,address,website,phone,email,first_name,last_name,job_title,email_verified,personal_email,contact_linkedin,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned
New,"The Kingsway Group","80 John St, Toronto, ON M5V 1X3, Canada",https://www.kingswaycanada.ca/,16477951695,contact@kingswaycanada.ca,,,,,,,4,8,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,https://www.instagram.com/thekingswaygroup,"Construction company",google,1,0,0
,"Keyz To Your Home Renovations",,https://www.keyztoyourhomereno.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D2220251015585499741,14164549946,keyztoyourhomereno.com@wix-domains.com,,,,,,,4.9,39,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Construction company",google,1,0,0
New,"Jh home renovation",,https://www.jhhomerenovations.ca/,13657777770,info@jhhomerenovations.ca,,,,,,,5,19,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Construction company",google,1,0,0
,"iRemodel Home Renovation Toronto","18 Yorkville Ave, Toronto, ON M4W 3Y8, Canada",http://iremodel.ca,14168252542,info@iremodel.ca,,,,,,,4.9,56,,,,,164,,166,1,1,0,1,0,0,0,1,1,1,https://www.facebook.com/IRemodelHomeRenovation,https://twitter.com/iRemodelCa,,,https://www.instagram.com/iremodelhomerenovation/,"Bathroom remodeler",google,1,0,0
,"Imperial Emergency Plumbing Services","1410 Dupont St, Toronto, ON M6H 0B6, Canada",https://www.imperial-restoration.ca/emergency-plumber-toronto/,14372425854,contact@imperial-restoration.ca,,,,,,,4.1,9,,,,,238,,248,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/imperial.restoration.7/,,https://www.linkedin.com/company/imperial-construction-and-restoration,,https://www.instagram.com/imperial_restoration/,Plumber,google,1,0,0
,"Anthony Sayers Custom Build & Design Ltd","5 Hanna Ave Apt 418, Toronto, ON M6K 0B3, Canada",https://www.homerenovationbyanthony.com/,14168179702,anthonysayersbuilder@gmail.com,,,,,,,5,7,,,,,,,9,1,0,0,0,0,0,0,0,1,0,,,,,,"General contractor",google,1,0,0
,"Home Maintenance & Repair","2967 Dundas St W, Toronto, ON M6P 1Z2, Canada",https://www.homemaintenancerepair.com/,8669944671,,,,,,,,5,1,,,,,,,,1,1,0,0,0,0,0,0,0,0,,,,,,"Water damage restoration service",google,1,0,0
,"HH Home Renovations",,https://www.hh-renovation-and-general-contracting.ca/,16473655749,hamidhafizi1000@yahoo.com,,,,,,,5,33,,,,,77,,79,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/HH-Home-Renovation-Services-102424292018880/,,,,https://www.instagram.com/hh_renovations_contracting_inc/,Contractor,google,1,0,0
,"Happy Bathroom Renovation",,https://www.happybathroom.ca/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dgmb,16478320056,info@happybathroom.ca,,,,,,,4.9,131,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://www.instagram.com/happybathroomstoronto/?hl=en,"Bathroom remodeler",google,1,0,0
New,"General Talent Canada","145 1/2 Church St, Toronto, ON M5C 2Z3, Canada",https://www.generaltalentcanada.ca/,16477948298,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,,,,,,"Construction company",google,1,0,0
New,"Frontenac Home Services",,https://www.frontenachomeservices.ca/,12267514483,info@frontenachomeservices.ca,,,,,,,5,18,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://www.instagram.com/frontenachomeservices/,"General contractor",google,1,0,0
,"Finished Basements","1/2 Major St #37, Toronto, ON M5S 2K9, Canada",https://www.finishedbasementsscto.com/,14168853987,info@fbscto.com,,,,,,,4.3,12,,,,,1625,,1600,1,1,0,1,0,0,0,1,1,0,https://www.facebook.com/120574741361703,,https://www.linkedin.com/public-profile/settings?trk=d_flagship3_profile_self_view_public_profile#:~:text=www.linkedin.com/in/jerome%2Dsammy%2D073b8220,https://www.youtube.com/channel/UCJYBtb9eqja6efy7HqBDsOw,https://www.instagram.com/finishedbasementssctocom,Contractor,google,1,0,0
New,"Estiha Inc","100 Dalhousie St, Toronto, ON M5B 0C7, Canada",https://www.estihainc.com/,16476198107,info@estihainc.com,,,,,,,5,9,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Construction company",google,1,0,0
New,"Elite Renovations Group | Home Remodeling Toronto & GTA","20 Alness St, Toronto ON",https://www.elitereno.ca/,9057098978,info@elitereno.ca,,,,,,,,,,,,,,,105,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/elitereno,,,https://www.youtube.com/channel/UCYjGfVnUut82Ei21fcYLA5w,https://www.instagram.com/p/DZpxRFGlkFp/,,bing,1,0,0
,"Delta Classic Homes Inc",,https://www.deltaclassichomes.com/,16479841650,deltareno@gmail.com,,,,,,,5,72,,,,,67,,71,1,1,0,1,0,0,0,1,1,0,https://www.facebook.com/people/Delta-Classic-Homes-inc/100069975760036/,,,https://www.youtube.com/@DeltaClassicHomes-TO,https://www.instagram.com/deltaclassichomes,"Construction company",google,1,0,0
,"Craftsman Renovations Ltd","840 Pape Ave #202, Toronto, ON M4K 3T6, Canada",https://www.craftsmanreno.com/,16475016927,info@craftsmanreno.com,,,,,,,5,27,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/craftsman-renovations-ltd/],,https://www.instagram.com/craftsmanreno/,"Construction company",google,1,0,0
,"Cgar Builder",,https://www.cgarbuilder.ca/,14374773449,info@cgarbuilder.com,,,,,,,5,8,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://www.instagram.com/cgar.builder/,Contractor,google,1,0,0
New,"Blue Oak Building Corporation","1033 Bay St. Ste 313, Toronto, ON M5S 3A5, Canada",https://www.blueoakbuilding.com/,14164220332,info@blueoakbuilding.com,,,,,,,4.9,55,,,,,,,8,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/people/Blue-Oak-Building/61572364002914/,,https://ca.linkedin.com/company/blue-oak-building-corporation?trk=public_post_feed-actor-name,https://www.youtube.com/@blueoakbuildingg,https://www.instagram.com/blueoakbuildingcorp/,"Construction company",google,1,0,0
,"Betterway Painting & Renovations Inc.",,https://www.betterwaypainting.ca/,14163174110,info@betterwaypainting.ca,,,,,,,4.9,37,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/people/Betterway-Painting-Renovations-INC/61553433400606/,https://twitter.com/,,https://www.youtube.com/static?template=privacy_guidelines,https://www.instagram.com/betterway_painting_reno,Painter,google,1,0,0
,"雅居装修 A & J Renovation","4168 Finch Ave E G70, Scarborough, ON M1S 3V1, Canada",https://www.ajrenovation.ca/,16473318881,jerry.ajrenovation@gmail.com,,,,,,,4.9,98,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,Contractor,google,1,0,0
New,"Acura Construction","215 Spadina Ave. #400, Toronto, ON M5T 2C7, Canada",https://www.acuraconstruction.ca/,19054526927,info.acuraconstruction@gmail.com,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Construction company",google,1,0,0
,"Ace Plumbing Services - Toronto Plumber","18 King St E Ste 1400, Toronto, ON M5E 1L4, Canada",https://www.aceplumbingservices.ca/,14167025993,aceplumbingservices1@gmail.com,,,,,,,5,33,,,,,312,,312,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/aceplumbingservicestoronto,,,,https://www.instagram.com/aceplumbingservices/,Plumber,google,1,0,0
New,"Vaughan Handyman","Vaughan, ON L4J 8J9, Vaughan, ON L4J 8J9, Canada",https://vaughanhandyman.ca,4378184415,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Handwerker,Maler,General Contractors",yelp,1,0,0
,"Unitedtech Renovation",,https://unitedtechrenovation.com/,14166668843,,,,,,,,5,11,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,Remodeler,google,1,0,0
New,"True Build Roofing & Masonry","88 Scott St, Toronto, ON M5E 0B5, Canada",https://truebuildroofingandmasonry.com/,16477619764,truebuildroofingandmasonry@gmail.com,,,,,,,5,7,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,Contractor,google,1,0,0
,"Toronto Renovation Contractor","30 Bertrand Ave, Scarborough, ON M1L 2P5, Canada",https://torontorenovationcontractor.com/,16475588823,info@torontorenovationcontractor.com,,,,,,,5,4,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Construction company",google,1,0,0
,"Toronto Home Repairs","82 Laird Dr, East York ON M4G 3V1",https://torontohomerepairs.com/,4164651689,info@torontohomerepairs.com,,,,,,,,,,,,,,,143,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/people/Toronto-Home-Repairs/100083265552734/,https://twitter.com/TorontoHomeRep,,,https://www.instagram.com/torontohomerepairs/,,bing,1,0,0
,"TMT Renovations and Build | Your Multi Award winning Renovation specialist","401 The West Mall, Etobicoke, ON M9C 4Y5, Canada",https://tmtbuildspecials.ca/,16477956086,tmtrenovations@yahoo.com,,,,,,,5,101,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Construction company",google,1,0,0
,"The Toronto Plumbers",,https://thetorontoplumbers.ca/,14168319212,info@thetorontoplumbers.ca,,,,,,,5,24,,,,,,,,1,1,0,0,0,0,0,1,1,1,,https://twitter.com/intent/tweet?text=Home&url=https%3A%2F%2Fthetorontoplumbers.ca,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fthetorontoplumbers.ca,,,Plumber,google,1,1,0
New,"The Restorators - Toronto","18 King St E Ste 1400, Toronto, ON M5E 1L4, Canada",https://therestorators.com/,14168353885,support@therestorators.com,,,,,,,4.6,68,,,,,,,6,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/therestoratorsToronto,https://twitter.com/therestorators,https://www.linkedin.com/company/the-restorators/,,https://www.instagram.com/the.restorators/,"Water damage restoration service",google,1,0,0
,"Design . Build . Renovate","12 Boulton Dr, Toronto, ON M4V 2V4, Canada",https://suderhomes.ca/contact,14167127117,greg@suderhomes.ca,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,Contractor,google,1,0,0
New,"Home Services at The Home Depot","1000 Gerrard St E, Toronto ON M4M 3G6",https://stores.homedepot.ca/on/toronto/home-services/,8004663337,domain_administrator@homedepot.com,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://connect.facebook.net/en_US/sdk.js#xfbml=1&version=v2.12&appId=66904429412&autoLogAppEvents=1,,https://www.linkedin.com/company/1551117,https://www.youtube.com/homedepotcanada,https://www.instagram.com/homedepotcanada,,bing,1,0,0
,"Smart Bathrooms Renovation",,https://smartbathroomsrenovation.ca/,16477711884,info@smartbathroomsrenovation.ca,,,,,,,5,32,,,,,84,7,85,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/people/Smartbathroomsreno/61559911202960/,,,,https://www.instagram.com/smartbathroomsreno/,"Bathroom remodeler",google,1,0,0
New,"Silverlight Windows & Eaves Cleaning","177 Pendrith St, Toronto, ON M6G 1S1, Canada",https://silverlightwindowsandeaves.ca/,14168278949,info@silverlightwindowsandeaves.ca,,,,,,,4.9,450,,,,,,,9300,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/silverlightwindowsandeavestoronto/,,,https://www.youtube.com/@SilverlightWindowsAndEaves,https://www.instagram.com/silverlightwindowseavestoronto/,"Window cleaning service",google,1,0,0
,"Shower Masters","111 Queen St E, Toronto, ON M5C 1S2, Canada",https://showermasters.ca/,8002103998,info@showermasters.ca,,,,,,,4.9,72,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Bathroom remodeler",google,1,0,0
,"SEGEN GENERAL CONSTRUCTION & RENOVATION LTD","29 Louvain Ave #311, Toronto, ON M4M 3M7, Canada",https://segenconstruction.ca/,16475406382,info@segenconstruction.ca,,,,,,,4.9,7,,,,,,,27,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/segenconsruction/,,,,,"Home builder",google,1,0,0
,"Royal Work Basement Waterproofing Toronto","230 Queens Quay W, Toronto, ON M5J 2X1, Canada",https://royalwork.ca/,14168371077,info@royalwork.ca,,,,,,,5,469,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Waterproofing service",google,1,0,0
,"Royal Home Painters","44 Jackes Ave, Toronto, ON M4T 1E5, Canada",https://royalhomepainterstoronto.ca/,16474923993,admin@royalhomepainters.ca,,,,,,,4.8,125,,,,,716,2,710,0,0,0,0,0,0,0,1,1,0,,,,,,Painter,google,1,0,0
New,"Rota Construction CA","150 King St W Ste 200, Toronto, ON M5H 1J9, Canada",https://rotagroup.ca/rotaconstruction.ca,14162523777,commercial@rotagroup.ca,,,,,,,,,,,,,,,84,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/RotaConstructionCanada,,,,https://www.instagram.com/rotaconstructioncanada/,"Construction company",google,1,0,0
,"Renovation Restoration Toronto",,https://renovationrestoration.ca/,14169043131,info@renovationrestoration.ca,,,,,,,5,22,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"General contractor",google,1,0,0
,"Renovare Lab","67 Portland St Unit 202, Toronto, ON M5V 1C2, Canada",https://renovarelab.ca/,14167275775,,,,,,,,5,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Construction company",google,1,0,0
,"Remodel My Home","7777 Weston Rd, Woodbridge, ON L4L 0G8, Canada",https://remodelmyhome.ca/,16477846137,contact@remodelmyhome.ca,,,,,,,5,55,,,,,,,514,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/p/Remodel-My-Home-100075790556903/,,,,https://www.instagram.com/remodelmyhome.ca/,"Construction company",google,1,1,0
,"PRIMOCON | Luxury Home Builder Toronto | Home Renovations | Kitchen Remodeling | Quality Painting | Architectural + Design","58 Marine Parade Dr, Etobicoke, ON M8V 4G1, Canada",https://primocon.ca/,14168215355,info@primocon.ca,,,,,,,5,6,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Custom home builder",google,1,0,0
,"Johnson’s Renovation & Contracting",,https://prelistingreno.ca/,16478066882,Johnsons.renovation18@gmail.com,,,,,,,5,29,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/share/1DWw9AMrwB/?mibextid=wwXIfr,,https://www.linkedin.com/company/112289517/,,https://www.instagram.com/prelisting.reno,"Interior fitting contractor",google,1,0,0
,"Plumber To Your Door of Toronto","509 Bloor St W, Toronto, ON M5S 1Y2, Canada",https://plumbertoyourdoor.ca/,16478947354,info@plumbertoyourdoor.ca,,,,,,,4.9,453,,,,,44,,45,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/PlumberToYourDoorCanada,,https://www.linkedin.com/company/plumbertoyourdoor/,https://www.youtube.com/channel/UC2vP4fONc2cEcSv5Q4Vi7pQ,https://www.instagram.com/plumbertoyourdoor_canada,Plumber,google,1,0,0
,"Petro Home Renovations","30 Shore Breeze Dr, Etobicoke, ON M8V 1A1, Canada",https://petrohomerenovations.ca/,16478039636,impallari@gmail.com,,,,,,,5,21,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Interior construction contractor",google,1,0,0
,"Pasquale Home Renovation Canada Inc",,https://pasqualerenovation.ca/,16478985507,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Construction company",google,1,0,0
,"Ontario One Renovations",,https://ontario1.ca/,16475137171,info@ontario1.ca,,,,,,,5,4,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"General contractor",google,1,0,0
,"ONT Restoration services","231 Carlton St. Unit B, Toronto, ON M5A 2L2, Canada",https://ont-restoration.com/,14168195000,info@ont-restoration.com,,,,,,,5,6,,,,,,,,1,1,1,0,0,0,0,1,1,1,,https://twitter.com/share?text=Protect%20Your%20Homes%20from%20Winter%20Water%20Damage&url=https://ont-restoration.com/protect-your-homes-from-winter-water-damage/,https://www.linkedin.com/shareArticle?mini=true&url=https://ont-restoration.com/protect-your-homes-from-winter-water-damage/&title=Protect%20Your%20Homes%20from%20Winter%20Water%20Damage,,,"Water damage restoration service",google,1,0,0
,"Oncall Renovation","54 Shorting Rd, Scarborough, ON M1S 3S7, Canada",https://oncallrenovation.ca/,14378758199,info@oncallrenovation.ca,,,,,,,5,13,,,,,2,,2,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/oncallrenovation25/,,,,https://www.instagram.com/oncallrenovation25/,Remodeler,google,1,0,0
New,"Old2New Home Renovations Inc.",,https://old2newhomes.ca/,16474618450,stevennguyenreal@gmail.com,,,,,,,5,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"General contractor",google,1,0,0
,"North 5 Contracting Inc","560 Front St W #932, Toronto, ON M5V 1C1, Canada",https://north5contracting.ca/,16476718084,info@north5contracting.ca,,,,,,,5,9,,,,,139,,146,1,0,0,0,0,0,0,1,1,1,https://web.facebook.com/N5CGeneralContractor/?_rdc=1&#038,,https://ca.linkedin.com/company/north-5-contracting-inc,https://www.youtube.com/channel/UCrRnIIuVQtZwZxOMFTReLWw,https://www.instagram.com/north_5_contracting/?hl=en,"Construction company",google,1,0,0
,"Norseman Construction And Development","1304 Woodbine Avenue, Toronto, ON M4C 4E7",https://norsemanconstruction.ca,6474355433,info@norsemanconstruction.ca,,,,,,,,,5,1,,,1420,44,1400,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/norsemanconstructionanddevelopment/,,https://www.linkedin.com/company/norseman-construction-development-ltd/%20,https://www.youtube.com/channel/UCedVpjGaMR3g0pYJEcW0C6g,https://www.instagram.com/norsemanconstruction,"General Contractors,Raumausstattung & Innenarchitektur,Architekt",yelp,1,0,0
,"NewCity Restoration & Renovations | Home Renovation Toronto | Kitchen Renovation Toronto",,https://ncrestoration.ca/,16473600880,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Water damage restoration service",google,1,0,0
New,"MS Renovation Services","2 Milepost Pl, East York, ON M4H 1C7, Canada",https://msrenos.com/,16479142552,msrenosgta@gmail.com,,,,,,,4.3,6,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,"General contractor",google,1,0,0
New,"Masterful Makeovers Stair Railing & Painting Experts","65 Genthorn Ave, Etobicoke, ON M9W 2T1",https://masterfulmakeovers.ca/,6475563384,masterfulmakeovers.ca@gmail.com,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Home Improvements & Renovations,Stair Builders",yellowpages-ca,1,0,0
New,"Maple Home Renovation","55 Commerce Valley Dr W Ste 502-550, Thornhill, ON L3T 7P4, Canada",https://maplehomerenovation.com/,14166033333,info@maplehomerenovation.com,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Construction company",google,1,0,0
,"Lukas Renovation","2311 Lake Shore Blvd W, Etobicoke, ON M8V 1A6, Canada",https://lukasrenovation.com/,14166667425,info@lukasrenovation.com,,,,,,,4.9,98,,,,,261,,261,0,0,0,0,0,0,0,1,1,0,,,,,,"General contractor",google,1,0,0
