status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned
,"Rack Attack Toronto","116 Laird Dr, Toronto, ON M4G 3V3, Canada",https://www.rackattack.com/store/toronto/,16473701180,info@rackattack.com,4.8,753,,,,,5765,272,6000,1,1,1,1,0,0,0,1,1,0,https://facebook.com/rackattack,,,https://youtube.com/rackattack,https://www.instagram.com/rackattack/,"Car accessories store in Toronto, Ontario",google-places,1,0,0
,"Pleasant view Auto Centre","2750 Victoria Park Ave, North York, ON M2J 4A8, Canada",https://www.pvauto.ca/,14164940178,,4.7,164,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Auto repair shop",google,1,0,0
,"ProColor Collision Toronto Junction ( CP AUTO BODY)","25 Cariboo Ave, Toronto ON M6P 3T7",https://www.procolor.com/en-ca/shop/toronto-junction/,4166047000,info.us@procolor.com,,,,,,,228,20,19,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/ProColorCollisionUSA/,https://twitter.com/ProColorC,https://www.linkedin.com/company/procolor-collision/,https://www.youtube.com/@Carrossier3221,https://www.instagram.com/carrossierprocolor/,,bing,1,0,0
,"Portes De Garage Bourassa Inc","Markham, QC",https://www.portesbourassa.com/,4509991376,info@portesbourassa.com,,,,,,,2275,12,2200,1,1,0,0,0,0,0,0,1,0,,,https://www.linkedin.com/company/bourassabosquetbachand,,https://www.instagram.com/bourassabosquetbachand/,"Auto Repair Garages",yellowpages-ca,1,0,0
,"Porsche Service Centre","259 Lake Shore Blvd E, Toronto, ON M5A 0W5, Canada",https://www.porschedowntowntoronto.com/service_parts/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle_my_business,14166039988,,4.7,14,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Porsche dealer",google,1,0,0
,Petro-Canada,"505 Jarvis St, Toronto, ON M4Y 2H7, Canada",https://www.petro-canada.ca/en/personal/gas-station-locations/505-jarvis-street-toronto%3Futm_source%3DG%26utm_medium%3Dlpm%26utm_campaign%3Dsuncor,14164130250,webmaster-p@suncor.com,3.8,726,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Gas station",google,1,0,0
,"NAPA AUTOPRO - Peck Brothers Limited","115 Doncaster Ave, Markham, ON L3T 1L6",https://www.peckautos.com/enco-services/,9058894477,peckd@rogers.com,,,,,,,91,3,91,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/PeckBrothersAutomotiveEncoAutoTrimGlass/,,,,,"Auto Repair Garages,Mufflers & Exhaust Systems",yellowpages-ca,1,0,0
,"NAPA AUTOPRO - Road Runner Auto Repair Inc.","30 Brydon Dr, Etobicoke, ON M9W 4N2",,4167425414,support@napaautopro.ca,4.7,95,,,,,11126,138,11000,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/napaautoprocanada/,,,,,"Auto Repair Garages",yellowpages-ca,,0,0
,"NAPA AUTOPRO - Chan's Auto Centre Ltd.","250 Queen Street West, BRAMPTON ON L6X 1B1",https://www.napaautopro.com/en/auto-repair/ontario/brampton-chan-s-auto-centre-ltd/,19054562313,info@napaautopro.com,4.8,81,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/napaautoprocanada/,https://twitter.com/napaknowhow,https://www.linkedin.com/company/napa-auto-parts,,,"Auto repair",bing,1,0,0
,"My Neighbourhood Mechanic","4 Cariboo Ave, Toronto, ON M6P 3T6, Canada",https://www.myneighbourhoodmechanic.com/,14167611717,info@mynm.ca,5.035,355,,,,,,,,1,1,1,0,0,0,0,0,1,0,,,,,https://www.instagram.com/myneighbourhoodmechanic/,"Auto repair shop in Toronto, Ontario",google-places,1,0,0
,"My Mechanic Auto & Tire Centre","4530 Steeles Ave E, Markham, ON L3R 0L2",https://www.mymechanicauto.ca/,9059461000,info@mymechanicauto.ca,,,,,,,98,7,108,1,1,0,0,0,0,0,1,1,0,,,,//www.youtube.com/t/terms,,"Car Repair & Service",yellowpages-ca,1,1,0
,"My Mechanic Auto Entire Cente","1095 Ellesmere Rd, Scarborough, ON M1P 2W9",https://www.mymechanicauto.ca/,4162881000,info@netdriven.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,//www.youtube.com/t/terms,,"Auto Repair Garages",yellowpages-ca,1,1,0
,"Mr. Lube + Tires","793 Spadina Rd, Toronto ON M5P 2X5",https://www.mrlube.com/locations/33,4167877350,info@mrlube.com,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0
,"Mister Transmission Toronto","995 PAPE AVE, EAST YORK, ON M4K 3V8",https://www.mistertransmission.com/find-a-location/?search-nearby=North+York%2C+ON+M4A&nearby-cord=43.72588229999999%2F-79.3155716,4167526166,info@mistertransmission.com,,,,,,,773,13,773,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/MisterTransmissionInternational,https://twitter.com/mistransmission,https://www.linkedin.com/company/mister-transmission-international,https://www.youtube.com/channel/UC29Y6qKSMFVutyBrZAdfKVg,,"Auto Repair Garages,Transmission",yellowpages-ca,1,0,0
,"Rosewood Automotive","827 Lakeshore Rd E, Mississauga, ON L5E 1C9",https://www.mississaugalocksmithson.com/,9052718089,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Auto Repair Garages,Car Repair & Service",yellowpages-ca,1,0,0
,Midas,"1647 Wilson Avenue, North York, ON M3L 1A5",https://www.midas.com/toronto/store.aspx?shopnum=9107&dmanum=857001&y_source=1_MTE1ODY5NTgtNjAxLWxvY2F0aW9uLndlYnNpdGU%3D,4168001461,baubert@moroch.com,4.2,141,,,,,131060,,131000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/midas,https://twitter.com/midas,,https://www.youtube.com/mymidasguy,https://www.instagram.com/midasofficial,"Car Repair & Service",yellowpages-ca,1,0,0
,Midas,"624 St Clair Ave W, York, ON M6C 1A9, Canada",https://www.midas.com/store/on/toronto/624-st-clair-avenue-west-m6c-1a9/%3Fshopnum%3D9916%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,16475574842,afeldman@midas.com,4.3,539,,,,,131158,,131000,0,0,0,1,0,0,0,1,1,0,,,,,,"Auto repair shop",google,1,0,0
,"Parts - Mercedes-Benz Downtown","761 Dundas St E, Toronto, ON M5A 4N5, Canada",https://www.mercedes-benz-downtown-toronto.ca/parts/,16474260780,dnsadmin@mercedes-benz.ca,4.7,13,,,,,645,1194,845,1,1,0,1,0,0,0,0,0,0,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdevelopers.facebook.com%2Fdocs%2Fplugins%2F&amp,,https://www.linkedin.com/company/mercedes-benz-downtown-toronto/,https://www.youtube.com/t/terms,https://www.instagram.com/mercedesbenztorontodowntown/,"Mercedes-Benz dealer",google,1,0,0
,"Meineke Car Care Center","6588 Finch Avenue West, Etobicoke, ON M9V 3Z6",https://www.meineke.ca/locations/on/etobicoke-497/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,4168003154,sandra-592@hotmail.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/MeinekeCA,,,,,"Auto Repair Garages,Car Repair & Service",yellowpages-ca,1,0,0
,"Mechatronic Diagnostics","455 Signet Drive, North York, ON M9L 1V5",https://www.mechatronicdiagnostics.com/,4169392482,,4.9,88,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,https://www.linkedin.com/company/mechatronic-diagnostics,,,"Auto Repair Garages",yellowpages-ca,1,1,0
,"MechaniCar Inc.","1 King St W suite 140 level 48, Toronto, ON M5H 1A1, Canada",https://www.mechanicar.com/,16476896099,info@mechanicar.com,4.5,2,,,,,,,,1,0,1,0,0,0,0,1,1,1,,https://twitter.com/mechanicarr,https://www.linkedin.com/company/mechanicar,,,"Auto repair shop",google,1,0,0
,"MEC Toronto","300 Queen St W, Toronto, ON M5V 2A2, Canada",https://www.mec.ca/en/stores/toronto,14163402667,info@mec.ca,4.3,2510,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Outdoor sports store",google,1,0,0
,EuroMechanic,"300 Shuter Street, Toronto, ON M5A 1W7, Canada",https://www.mcdermottmotors.com,4163611707,hello@euromechanic.ca,,,4,27,,,60,,60,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/EuroMechanicOntario,https://twitter.com/euro_mechanic,https://www.linkedin.com/company/mcdermott-motors-tirecraft,https://www.youtube.com/@euromechanic,https://www.instagram.com/euromechanicontario,"Autowerkstatt,Autoreifen,Getriebereparatur",yelp,1,0,0
,"Manntel Automotive Plaza","2568 St Clair Ave W, York, ON M6N 1L8, Canada",https://www.manntelautomotive.com/,14167666266,info@manntelautomotive.com,4.4,67,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Car repair and maintenance service",google,1,0,0
,"Maaco Collision Repair & Auto Painting","120 Judge Rd Unit A, Etobicoke, ON M8Z 5B7, Canada",https://www.maaco.ca/locations/on/toronto-11916/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_website,14162330991,customerservicemaaco@maaco.com,4.6,121,,,,,62600,4587,62000,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/MaacoUSA/,https://twitter.com/maaco,,https://www.youtube.com/user/MaacoAutoBodyShop,https://www.instagram.com/maaconorthamerica/?hl=en,"Auto body shop",google,1,0,0
,"Land Rover Toronto Parts","777 Dundas St E, Toronto, ON M4M 0E2, Canada",https://www.landrovertoronto.ca/en/service-and-parts/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGMB%26utm_term%3DGoogleLocalTraffic%26utm_content%3Dparts,14165301880,marketing@grandtouringautos.com,5,1,,,,,10428,228,10000,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/JLRtoronto,,http://linkedin.com/company/jaguar-land-rover-toronto,https://www.youtube.com/user/landrover?_gl=1*1bxfvr7*_ga*OTIxMzYyOTIwLjE3MDQ3NDY3MTY.*_ga_B7ZBBJZQFN*MTcwNDc0NjcxNS4xLjEuMTcwNDc0Njc5OS4wLjAuMA..*_ga_Z5Q8Z5C7KF*MTcwNDc0NjcxNy4xLjEuMTcwNDc0Njc5OS42MC4wLjA.*_gcl_au*MzQzNzgyNTQ1LjE3MDQ3NDY3MTg.,https://www.instagram.com/jlrtoronto/,"Auto parts store",google,1,0,0
,"Land Rover Toronto","777 Dundas Street E, Toronto, ON M4M 0E2",https://www.landrovertoronto.ca/en/,4165301880,info@leadboxhq.com,4.3,286,3,2,,,5377,158,5400,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/JLRtoronto,,http://linkedin.com/company/jaguar-land-rover-toronto,https://www.youtube.com/user/landrover?_gl=1*1bxfvr7*_ga*OTIxMzYyOTIwLjE3MDQ3NDY3MTY.*_ga_B7ZBBJZQFN*MTcwNDc0NjcxNS4xLjEuMTcwNDc0Njc5OS4wLjAuMA..*_ga_Z5Q8Z5C7KF*MTcwNDc0NjcxNy4xLjEuMTcwNDc0Njc5OS42MC4wLjA.*_gcl_au*MzQzNzgyNTQ1LjE3MDQ3NDY3MTg.,https://www.instagram.com/jlrtoronto/,"Autowerkstatt,Autoersatzteile",yelp,1,0,0
,"Kensington Automotive","626 Dundas Street W Toronto, ON M5T 1H7",https://www.kensingtonautomotive.ca/contact,4169479888,info@kensingtonautomotive.ca,,,5,2,,,16,,17,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/kensingtonautomotive,,,,https://instagram.com/kensingtonautomotive,"Autowerkstatt,Autoreifen",yelp,1,1,0
,"Kal Tire","12 Carlaw Ave, Toronto, ON M4M 2R7, Canada",https://www.kaltire.com/en/locations/%3Fstore%3D881-toronto-store%26utm_source%3DG%26utm_medium%3DLPM%26utm_campaign%3DKalTire,14373706830,customerservice@kaltire.com,3.9,454,,,,,26764,2248,26000,0,0,0,1,0,0,0,1,1,0,,,,,,"Tire shop",google,1,0,0
,"J.W. Car Care","220 Yonge St, Toronto, ON M5B 2H1, Canada",https://www.jwcarcare.com/,14169799191,joseph@jwcompanies.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Car detailing service",google,1,0,0
,"J M Auto Electric","53 Stafford Dr, Brampton ON L6W1L3",https://www.jmautoelectric.com/,19055951267,contact@jmautoelectric.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Auto electrical repair",bing,1,0,0
,"Infiniti Downtown Toronto Service Centre","79 E Don Roadway, Toronto, ON M4M 2A5, Canada",https://www.infinitidowntown.ca/InfinitiService?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,14169642582,concierge@infinitidowntown.ca,3.6,5,,,,,,,,0,1,1,0,0,0,0,1,1,0,https://www.facebook.com/infinitidowntown.to,,https://www.linkedin.com/company/infiniti-downtown,https://www.youtube.com/channel/UCEzkR7GXXvxBKr-HMZ63Ekg,https://www.instagram.com/infinitidowntown.to/,"Auto repair shop in Toronto, Ontario",google-places,1,0,0
,"Gt Automotive","2 Elrose Ave, North York, ON M9M 2H6",https://gtautomotive.ca/,4167471144,shop@gtautomotive.ca,4.8,70,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,https://www.youtube.com/embed/V0lcY58fwpY,https://www.instagram.com/gtautomotive_gtautosales/,"Car Repair & Service,Tire Retailers",yellowpages-ca,1,1,0
,"Grand Touring Automobiles","777 Dundas St E, Toronto, ON M4M 0E2, Canada",https://www.grandtouringautos.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle_my_business,14165301880,info@gtfs.ca,4.1,688,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/lamborghini-calgary,,,"Auto repair shop",google,1,1,0
,"FIX AUTO TORONTO EAST YORK","919 Pape Ave, East York ON M4K 3V3",https://www.fixauto.com/ca/en/shop/fix-auto-toronto-east-york/,4164652992,customer.service@fixauto.com,,,,,,,4091,568,4000,1,1,0,1,0,0,0,1,1,1,https://www.facebook.com/fixautocanada,,https://ca.linkedin.com/showcase/fix-network-canada/,https://www.youtube.com/user/FixAutoCanada,https://www.instagram.com/fixautousa/,,bing,1,0,0
,"FIX AUTO DOWNTOWN TORONTO","370 King St E, Toronto, ON M5A 1K9, Canada",http://fixauto.com,14163634300,lindsey.mackiewicz@drivenbrands.com,4.9,150,,,,,10203,725,10000,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/FixAutoUSA/,https://twitter.com/fixautoksa,https://www.linkedin.com/company/fix-auto-usa,https://www.youtube.com/@fixautoksa,https://www.instagram.com/fixautousa/,"Auto body shop",google,1,0,0
,"First Fleet Auto Service","110 Adesso Dr #6, Concord, ON L4K 3C5",https://www.firstfleetautoservice.com/home,6475121419,firstfleetautoservice@gmail.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2Fpeople%2FFirst-Fleet-Auto-Service%2F61574014391679%2F&sa=D&sntz=1&usg=AOvVaw0x2JrTNdTJNbgrqhCHUZ6f,,,,https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Ffirstfleetautoservice%2F&sa=D&sntz=1&usg=AOvVaw30_MM6vnW2Jwb2oXAZBgo0,"Auto Repair Garages",yellowpages-ca,1,0,0
,"Fine Finish Auto Detail","Indigo Parking, P1 Level, 35 Church St, Toronto, ON M5E 1T3, Canada",https://www.finefinishautodetail.ca/,14169554491,support@schedulista.com,4.8,323,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Car wash",google,1,0,0
,Fiix,"Toronto, ON M5B 0A1",https://www.fiix.io,6473614449,hello@wrench.com,,,3.5,20,,,4916,,5000,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/getwrench/,https://twitter.com/getwrench,https://www.linkedin.com/company/wrench-inc./,,https://www.instagram.com/getwrench/,"Auto Repair,Oil Change Stations,Auto Parts & Supplies",yelp,1,0,0
,"Excellence Auto Collision - Silverstar","211 Silver Star Blvd, Scarborough ON M1V 0A9",https://www.excellenceauto.ca/,4166261888,csrmidwest@excellenceauto.ca,,,,,,,,,,1,1,1,0,0,0,0,0,1,0,,,https://www.linkedin.com/company/excellenceauto/,,https://www.instagram.com/excellence_auto_collision/,,bing,1,0,0
,"Everything Diesel","Toronto, ON M9B 6H7, Canada",https://www.everythingdiesel.ca,4164549961,,,,4.5,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Commercial Truck Repair,Farm Equipment Repair,Auto Repair",yelp,1,0,0
,"Dynamic Car Care Ltd.","Underground Parking, 777 Bay St. Level 1, Toronto, ON M5B 2H7, Canada",https://www.dynamiccarcare.ca/,,info@smartshine.ca,4.8,102,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,https://www.instagram.com/smartshine.toronto/,"Car detailing service",google,1,0,0
,"Downtown Toyota - Service Department","79 E Don Roadway, Toronto, ON M4M 2A5, Canada",https://www.downtowntoyota.ca/service/book-a-service-appointment/,14164655471,sales@downtowntoyota.ca,4,4,,,,,3296,682,3200,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/downtowntoyota.to,https://twitter.com/DTToyotaTO,,https://www.youtube.com/@downtowntoyotatoronto6576,https://www.instagram.com/downtowntoyota.to/?hl=en,"Auto repair shop",google,1,0,0
,"Downtown Ford Toronto","77 E Don Roadway, Toronto, ON M4M 2A5, Canada",https://www.downtownford.ca/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle_my_business,14166039156,dnsmgr@ford.com,4.2,689,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Ford dealer",google,1,0,0
,"Dixie Matheson Service Centre","1401 Matheson Blvd E, Mississauga, ON L4W 3W2",https://www.dixiemathesonservice.com/,2893260893,dmsc@bellnet.ca,4.4,80,,,,,56,4,56,1,1,0,1,0,0,0,1,1,0,https://www.facebook.com/dixiemathesonservicecentre,,,,,"Auto Repair Garages,Car Repair & Service",yellowpages-ca,1,0,0
,"CARSTAR Toronto St. Clair","2528 St Clair Ave W, York, ON M6N 1L6, Canada",http://carstar.ca,14167694440,esther@imagemakers-inc.com,4.9,591,,,,,17478,1057,17000,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/CARSTARCanada/?ref=br_rs,,https://www.linkedin.com/company/98581/,https://www.youtube.com/channel/UCMDDuZ8Pf4SLvwJfSr8rsUw?view_as=subscriber,,"Auto body shop",google,1,0,0
,"CARSTAR Toronto Millwick","51 Millwick Drive, Toronto, ON M9L 1Y4",https://www.carstar.ca/en/locations/on/toronto/carstar-toronto-millwick-16035,4164010171,drobinson@vmg1.com,4.3,38,,,,,17434,997,17000,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/CARSTARCanada/?ref=br_rs,,https://www.linkedin.com/company/98581/,https://www.youtube.com/channel/UCMDDuZ8Pf4SLvwJfSr8rsUw?view_as=subscriber,,"Auto Body Repair & Painting Shops,Auto Body Shop Equipment & Supplies",yellowpages-ca,1,0,0
,"CARSTAR Automotive","344 Eastern Ave, Unit 1, Toronto ON M4M 3G5",https://www.carstar.ca/en/locations/on/toronto/carstar-express-toronto-eastern-avenue-16096,4162652227,rjasper@carstar.ca,4.7,121,,,,,5,,8,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/CARSTARExpressTorontoEasternAvenue/,https://twitter.com/carstarcanada,,https://www.youtube.com/channel/UCMDDuZ8Pf4SLvwJfSr8rsUw?app=desktop,,"Body shop in Toronto, ON",bing,1,0,0
,"Capital Auto Repair","202 Dundas St W, Mississauga, ON L5B 1J1",http://www.capitalmotor.ca/,9058969656,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Auto Repair Garages,Tire Retailers",yellowpages-ca,1,0,0
,"Canadian Tire Gas+","835 Yonge St, Toronto, ON M4W 2H2, Canada",https://www.canadiantire.ca/en/store-details/on/yonge-street-on-1663.html,14169256502,customerservice@canadiantire.ca,3.2,179,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Gas station",google,1,0,0
,"Canadian Tire","65 Dundas St W, Toronto, ON M5G 2C3, Canada",https://www.canadiantire.ca/en/store-details/on/toronto-eaton-centre-on-600.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D600,14169792025,PrivacyOffice@cantire.com,3.7,5677,,,,,418776,18175,13,0,0,0,1,0,0,0,0,1,0,,,,,,"Department store",google,1,0,0
,"Canadian Tire","1025 Lake Shore Blvd E, Toronto, ON M4M 3C1, Canada",https://www.canadiantire.ca/en/store-details/on/leslie-lake-shore-on-654.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D654,14167780102,mastercardcustomerservice@canadiantire.ca,3.9,3082,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Department store",google,1,0,0
,"Thruway Muffler / Cam's Auto Service","475 King St E, Toronto, ON M5A 1L6, Canada",https://www.camsautoservice.com/,14168619511,cam@camsautoservice.com,4.432,316,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Auto repair shop in Toronto, Ontario",google-places,1,0,0
,"Budget Car Rental","80 Bloor St E, Toronto, ON M4W 3G8, Canada",https://www.budget.ca/en/locations/ca/on/toronto/y89%3Futm_source%3Dgoogle%26utm_medium%3Dgbp%26utm_campaign%3Dbudget_gbp,14169281205,admin@internationaladmin.com,2.5,73,,,,,118818,5559,119000,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/Budget/,https://twitter.com/budget,https://www.linkedin.com/company/avis-budget-group/jobs,https://www.youtube.com/user/Budget,https://www.instagram.com/budget/,"Car rental agency",google,1,0,0
,"Brampton Auto Repair","18 Bramsteele Road, Brampton ON L6W 1B3",https://www.bramptonautorepair.com/,9054576710,service@bramptonautorepair.com,4.6,111,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/bramptonautorepair,,,,https://www.instagram.com/bramptonautorepair,,bing,1,0,0
,"Black Tires Distribution Inc.","100 King St W Suite #5700, Toronto, ON M5K 2A1, Canada",https://www.blacktires.ca/,14169394590,quotes@blacktires.ca,4.9,96,,,,,,,444,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/blacktires.ca,,https://www.linkedin.com/company/black-tires-distribution,,,Wholesaler,google,1,0,0
